id_cliente,idade,renda,produto,regiao-BR,pre-pandemia
XXXXXXX58,73,13597,desodorante,Sul,0
XXXXXXX24,17,14963,batom,Sudeste,0
XXXXXXX88,55,10075,desodorante,Sul,0
XXXXXXX43,30,14751,desodorante,Sul,0
XXXXXXX90,27,29700,perfume,Nordeste,0
XXXXXXX49,54,13474,batom,Sudeste,0
XXXXXXX40,22,11866,desodorante,Sul,0
XXXXXXX88,43,11133,desodorante,Sul,0
XXXXXXX92,58,15278,desodorante,Sul,0
XXXXXXX81,71,20388,desodorante,Sul,0
XXXXXXX85,30,9970,batom,Sudeste,0
XXXXXXX36,56,14766,desodorante,Sul,0
XXXXXXX17,31,11180,desodorante,Sul,0
XXXXXXX91,46,11790,desodorante,Sul,0
XXXXXXX23,40,19524,desodorante,Sul,0
XXXXXXX40,38,18166,sombra,Nordeste,0
XXXXXXX46,17,8212,desodorante,Sul,0
XXXXXXX99,37,12617,desodorante,Sul,0
XXXXXXX87,52,11494,desodorante,Sul,0
XXXXXXX56,56,14149,desodorante,Sul,0
XXXXXXX34,49,8201,sombra,Nordeste,0
XXXXXXX73,32,5678,antissinais,Centro-Oeste,0
XXXXXXX26,47,11145,antissinais,Norte,0
XXXXXXX88,54,5530,desodorante,Sul,0
XXXXXXX90,56,15387,batom,Sudeste,0
XXXXXXX19,61,21422,batom,Sudeste,0
XXXXXXX28,40,8377,antissinais,Nordeste,0
XXXXXXX75,56,16710,perfume,Nordeste,0
XXXXXXX88,25,15601,batom,Sudeste,0
XXXXXXX13,43,5512,sombra,Nordeste,0
XXXXXXX57,41,19495,desodorante,Sudeste,0
XXXXXXX42,35,11824,sombra,Nordeste,0
XXXXXXX85,24,12124,antissinais,Norte,0
XXXXXXX84,44,17719,perfume,Nordeste,0
XXXXXXX88,53,8613,desodorante,Sul,0
XXXXXXX82,65,25559,perfume,Nordeste,0
XXXXXXX78,66,9581,antissinais,Nordeste,0
XXXXXXX24,48,9849,desodorante,Sul,0
XXXXXXX19,56,17251,desodorante,Sul,0
XXXXXXX52,30,15717,base,Nordeste,0
XXXXXXX43,63,14441,desodorante,Sul,0
XXXXXXX32,56,14731,desodorante,Sul,0
XXXXXXX34,49,23348,perfume,Nordeste,0
XXXXXXX14,45,8415,desodorante,Sul,0
XXXXXXX25,56,18024,desodorante,Sudeste,0
XXXXXXX19,53,13989,antissinais,Centro-Oeste,0
XXXXXXX68,34,22929,desodorante,Sul,0
XXXXXXX57,46,15952,desodorante,Sul,0
XXXXXXX25,46,16918,desodorante,Sul,0
XXXXXXX50,43,10930,antissinais,Norte,0
XXXXXXX65,48,10246,perfume,Nordeste,0
XXXXXXX61,47,12337,batom,Sudeste,0
XXXXXXX89,58,14108,desodorante,Sul,0
