data,vendas-iogurte,lead-time
2020-03-01,4921,5
2020-03-08,4811,6
2020-03-15,4946,5
2020-03-22,4946,4
2020-03-29,5024,4
2020-04-05,4947,7
2020-04-12,5029,5
2020-04-19,4979,3
2020-04-26,4982,3
2020-05-03,5052,4
2020-05-10,4934,7
2020-05-17,5023,7
2020-05-24,4910,5
2020-05-31,4958,4
2020-06-07,5037,3
2020-06-14,4987,5
2020-06-21,4952,4
2020-06-28,4895,3
2020-07-05,5043,6
2020-07-12,4873,6
2020-07-19,5005,5
2020-07-26,5061,2
2020-08-02,5041,5
2020-08-09,5023,7
2020-08-16,5019,5
2020-08-23,4904,7
2020-08-30,5061,7
2020-09-06,5022,7
2020-09-13,4902,4
2020-09-20,5074,7
2020-09-27,4982,7
2020-10-04,4952,6
2020-10-11,4902,2
2020-10-18,5003,6
2020-10-25,5034,3
2020-11-01,4995,6
2020-11-08,4877,8
2020-11-15,4965,4
2020-11-22,5136,3
2020-11-29,5001,4
2020-12-06,5026,3
2020-12-13,4992,4
2020-12-20,4956,2
2020-12-27,4939,3
2021-01-03,5052,5
2021-01-10,4968,7
2021-01-17,5053,9
2021-01-24,4958,3
2021-01-31,4959,6
2021-02-07,5037,6
2021-02-14,4996,5
2021-02-21,5013,2
2021-02-28,5013,5
2021-03-07,4902,6
2021-03-14,4938,4
2021-03-21,4935,7
2021-03-28,4997,2
2021-04-04,4973,7
2021-04-11,5120,7
2021-04-18,4960,5
2021-04-25,5078,5
2021-05-02,5057,6
2021-05-09,5101,6
2021-05-16,5124,7
2021-05-23,5095,5
2021-05-30,4980,5
2021-06-06,5004,7
2021-06-13,5016,3
2021-06-20,4981,7
2021-06-27,4866,3
2021-07-04,4971,6
2021-07-11,4964,5
2021-07-18,4982,7
2021-07-25,4840,7
2021-08-01,4959,6
2021-08-08,5038,3
2021-08-15,4964,9
2021-08-22,5056,2
2021-08-29,5058,6
2021-09-05,5009,5
2021-09-12,4974,8
2021-09-19,5011,4
2021-09-26,4860,4
2021-10-03,4968,5
2021-10-10,5026,4
2021-10-17,5044,4
2021-10-24,4924,5
2021-10-31,4960,4
2021-11-07,5132,4
2021-11-14,4856,4
2021-11-21,4924,3
2021-11-28,4932,8
2021-12-05,4971,7
2021-12-12,5062,4
2021-12-19,5093,5
2021-12-26,5083,5
2022-01-02,5120,5
2022-01-09,4968,3
2022-01-16,5095,6
2022-01-23,4941,6
2022-01-30,5020,8
